## cowpea crop ontology
MAGIC-2017.ft.ld.4	CO_340:0000233
MAGIC-2017.ft.ld.5	CO_340:0000233
MAGIC-2017.ft.ld.9	CO_340:0000233
MAGIC-2017.ft.ld.11	CO_340:0000233
MAGIC-2017.ft.sd.1	CO_340:0000233
MAGIC-2017.ft.sd.4	CO_340:0000233
MAGIC-2017.ft.sd.5	CO_340:0000233
MAGIC-2017.ft.sd.9	CO_340:0000233
MAGIC-2017.gh.ld.1	CO_340:0000467
MAGIC-2017.gh.ld.9	CO_340:0000467
MAGIC-2017.gh.sd.1	CO_340:0000467
MAGIC-2017.mat.ni.5	CO_340:0000236
MAGIC-2017.mat.ri.2	CO_340:0000236
MAGIC-2017.mat.ri.5	CO_340:0000236
MAGIC-2017.mat.ri.9	CO_340:0000236
