## soybean lines and characteristics from GRIN
TaxonId	3847
##
FC1547	China	
FC19976	Japan	
FC19976.1	Japan	
FC19976.2	Japan	
FC19979.1	Japan	
FC19979.2	Japan	
FC19979.3	Japan	
FC19979.4	Japan	
FC19979.5	Japan	
FC19979.6	Japan	
FC19979.7	Japan	
FC2108	China	
FC2109	China	
FC30683		
FC30684	China	
FC30685	Japan	
FC30687	Japan	
FC30689		
FC30691		
FC30692	China	
FC31557		
FC31571	China	
FC31572	China	
FC31572.3	China	
FC31579		
FC31592	Indonesia	
FC31697	Costa Rica	
FC31919	Venezuela	
FC32141		
FC3609	China	
FC3654.1	China	
FC3654N	China	
FC3659	China	
FC3981		
NSL22316		
PI103079	China	
PI103080	China	
PI103088	China	
PI103091	China	
PI103414	China	
PI103415	China	
PI103419A	China	Georeferenced Yimianpo, Shangzhi, Heilongjiang Province, China
PI103419B	China	Georeferenced Yimianpo, Shangzhi, Heilongjiang Province, China
PI104708	Poland	
PI105579		
PI123439	Myanmar	
PI123440	Myanmar	
PI123577A	China	
PI123577B	China	
PI123578	China	
PI123587	China	
PI123590	China	
PI124871	Japan	
PI131531	Poland	
PI132201	Netherlands	
PI132203	Netherlands	
PI132204	Netherlands	
PI132205	Netherlands	
PI132206	Netherlands	
PI132207	Netherlands	
PI132214	Netherlands	
PI132215	Netherlands	
PI132217	Netherlands	
PI133226	Indonesia	
PI135589	China	
PI135590	China	
PI142491	China	
PI145079	Zimbabwe	
PI148259	Indonesia	
PI148260	South Africa	
PI151249	Belgium	
PI152361	Russian Federation	
PI152573	United Kingdom	
PI153203	Belgium	
PI153208	Portugal	
PI153209	France	
PI153210	France	
PI153211	Belgium	
PI153212	Lithuania	
PI153213	Belgium	
PI153214	Belgium	
PI153215		
PI153216	Belgium	
PI153217	Belgium	
PI153218	United Kingdom	
PI153219	Belgium	
PI153221	Belgium	
PI153222	Switzerland	
PI153223	Netherlands	
PI153225	Belgium	
PI153226	Belgium	
PI153227	Belgium	
