TaxonID	3847
Variety	Williams82
experiment_id	9
experiment_type	GWAS
SoyBase_ID	KGK20170714.2
number_loci_tested	142
number_germplasm_tested	92
#gwas_id      gwas_name	other_name	gwas_family	gwas_class	trait_SOY_number	QTL_type	QTL_category	locus_id	locus_name	p_value	LOD	R2	chromosome	linkage_group	qtl_start	qtl_end
828	Seed oil 3-g1		Seed oil 3	Seed oil	SOY:0001668	QTL_oil	seed_composition_and_yield	17493	Satt294			0.149	Gm04	C1	43305171	43305451
829	Seed oil 3-g2		Seed oil 3	Seed oil	SOY:0001668	QTL_oil	seed_composition_and_yield	39569	AW734137			0.137	Gm18	G	3626442	3626636
830	Seed oil 3-g3		Seed oil 3	Seed oil	SOY:0001668	QTL_oil	seed_composition_and_yield	19644	Satt227			0.062	Gm06	C2	4256231	4256374
831	Seed oil 3-g4		Seed oil 3	Seed oil	SOY:0001668	QTL_oil	seed_composition_and_yield	19765	Satt281			0.22	Gm06	C2	6529270	6529452
832	Seed oil 3-g5		Seed oil 3	Seed oil	SOY:0001668	QTL_oil	seed_composition_and_yield	12846	Satt129			0.099	Gm01	D1a	55166202	55166350
833	Seed oil 3-g6		Seed oil 3	Seed oil	SOY:0001668	QTL_oil	seed_composition_and_yield	39184	Satt186			0.167	Gm17	D2	38763354	38763579
834	Seed oil 3-g7		Seed oil 3	Seed oil	SOY:0001668	QTL_oil	seed_composition_and_yield	2832	Satt130			0.192	Gm18	G	4639971	4640389
835	Seed oil 3-g8		Seed oil 3	Seed oil	SOY:0001668	QTL_oil	seed_composition_and_yield	43469	Satt239			0.175	Gm20	I	25275083	25275269
836	Seed oil 3-g9		Seed oil 3	Seed oil	SOY:0001668	QTL_oil	seed_composition_and_yield	43001	Satt571			0.039	Gm20	I	1287393	1287548
837	Seed oil 3-g10		Seed oil 3	Seed oil	SOY:0001668	QTL_oil	seed_composition_and_yield	41456	Satt182			0.094	Gm19	L	2059590	2059807
838	Seed oil 3-g11		Seed oil 3	Seed oil	SOY:0001668	QTL_oil	seed_composition_and_yield	42867	Satt373			0.129	Gm19	L	49312675	49312922
839	Seed oil 3-g12		Seed oil 3	Seed oil	SOY:0001668	QTL_oil	seed_composition_and_yield	22814	Satt308			0.189	Gm07	M	42822283	42822449
840	Seed oil 3-g13		Seed oil 3	Seed oil	SOY:0001668	QTL_oil	seed_composition_and_yield	21695	Satt463			0.121	Gm07	M	8283245	8283465
841	Seed oil 3-g14		Seed oil 3	Seed oil	SOY:0001668	QTL_oil	seed_composition_and_yield	15820	Sat_266			0.113	Gm03	N	34016929	34017143
842	Seed palmitic 1-g1		Seed palmitic 1	Seed palmitic	SOY:0001673	QTL_oil	seed_composition_and_yield	24789	Satt429			0.329	Gm08	A2	47217842	47218105
