TaxonID	3847
Variety	Williams82
experiment_id	8
experiment_type	GWAS
SoyBase_ID	KGK20170908.1
number_loci_tested	116769
number_germplasm_tested	366
#gwas_id      gwas_name	other_name	gwas_family	gwas_class	trait_SOY_number	QTL_type	QTL_category	locus_id	locus_name	p_value	LOD	R2	chromosome	linkage_group	qtl_start	qtl_end
784	Seed isoflavone 1-g1	qSifc-a-01-1	Seed isoflavone 1	Seed isoflavone	SOY:0001849	QTL_other-seed	seed_composition_and_yield	7284	Gm01_BLOCK159	3.36E-05		0.7	Gm01	D1a	18427457	18427457
785	Seed isoflavone 1-g2	qSifc-a-01-2	Seed isoflavone 1	Seed isoflavone	SOY:0001849	QTL_other-seed	seed_composition_and_yield	7285	Gm01_BLOCK329	0.000553084		0.5	Gm01	D1a	48550634	48550634
786	Seed isoflavone 1-g3	qSifc-a-02-1	Seed isoflavone 1	Seed isoflavone	SOY:0001849	QTL_other-seed	seed_composition_and_yield	7312	Gm02_7555638	0.007446583		0.3	Gm02	D1b	7644953	7644953
787	Seed isoflavone 1-g4	qSifc-a-02-2	Seed isoflavone 1	Seed isoflavone	SOY:0001849	QTL_other-seed	seed_composition_and_yield	7313	Gm02_9665788	8.62E-21		2.9	Gm02	D1b	9665787	9665787
788	Seed isoflavone 1-g5	qSifc-a-02-3	Seed isoflavone 1	Seed isoflavone	SOY:0001849	QTL_other-seed	seed_composition_and_yield	7314	Gm02_15308691	1.29E-22		3.1	Gm02	D1b	9763140	9763140
789	Seed isoflavone 1-g6	qSifc-a-02-4	Seed isoflavone 1	Seed isoflavone	SOY:0001849	QTL_other-seed	seed_composition_and_yield	7286	Gm02_BLOCK204	1.83E-41		6.4	Gm02	D1b	21930371	21930371
790	Seed isoflavone 1-g7	qSifc-a-02-5	Seed isoflavone 1	Seed isoflavone	SOY:0001849	QTL_other-seed	seed_composition_and_yield	7287	Gm02_BLOCK267	4.27E-20		2.9	Gm02	D1b	31375330	31375330
791	Seed isoflavone 1-g8	qSifc-a-03-1	Seed isoflavone 1	Seed isoflavone	SOY:0001849	QTL_other-seed	seed_composition_and_yield	7315	Gm03_2279362	0.000111666		0.5	Gm03	N	2289038	2289038
792	Seed isoflavone 1-g9	qSifc-a-03-2	Seed isoflavone 1	Seed isoflavone	SOY:0001849	QTL_other-seed	seed_composition_and_yield	7288	Gm03_BLOCK51	0.022370772		0.3	Gm03	N	4827545	4827545
793	Seed isoflavone 1-g10	qSifc-a-03-3	Seed isoflavone 1	Seed isoflavone	SOY:0001849	QTL_other-seed	seed_composition_and_yield	7289	Gm03_BLOCK135	0.000675539		0.7	Gm03	N	15708348	15708348
794	Seed isoflavone 1-g11	qSifc-a-03-4	Seed isoflavone 1	Seed isoflavone	SOY:0001849	QTL_other-seed	seed_composition_and_yield	7290	Gm03_BLOCK187	0.00012341		0.9	Gm03	N	22671129	22671129
795	Seed isoflavone 1-g12	qSifc-a-03-5	Seed isoflavone 1	Seed isoflavone	SOY:0001849	QTL_other-seed	seed_composition_and_yield	7291	Gm03_BLOCK231	2.30E-51		8.2	Gm03	N	29166645	29166645
796	Seed isoflavone 1-g13	qSifc-a-03-6	Seed isoflavone 1	Seed isoflavone	SOY:0001849	QTL_other-seed	seed_composition_and_yield	7292	Gm03_BLOCK281	0.000335463		0.6	Gm03	N	35773496	35773496
797	Seed isoflavone 1-g14	qSifc-a-03-7	Seed isoflavone 1	Seed isoflavone	SOY:0001849	QTL_other-seed	seed_composition_and_yield	7293	Gm03_BLOCK286	3.49E-19		2.8	Gm03	N	36152319	36152319
798	Seed isoflavone 1-g15	qSifc-a-04-1	Seed isoflavone 1	Seed isoflavone	SOY:0001849	QTL_other-seed	seed_composition_and_yield	7316	Gm04_3377494	2.05E-06		0.7	Gm04	C1	3434561	3434561
799	Seed isoflavone 1-g16	qSifc-a-04-2	Seed isoflavone 1	Seed isoflavone	SOY:0001849	QTL_other-seed	seed_composition_and_yield	7294	Gm04_BLOCK77	1.87E-11		1.8	Gm04	C1	8556335	8556335
800	Seed isoflavone 1-g17	qSifc-a-04-3	Seed isoflavone 1	Seed isoflavone	SOY:0001849	QTL_other-seed	seed_composition_and_yield	7295	Gm04_BLOCK106	3.78E-12		1.9	Gm04	C1	10946510	10946510
801	Seed isoflavone 1-g18	qSifc-a-04-4	Seed isoflavone 1	Seed isoflavone	SOY:0001849	QTL_other-seed	seed_composition_and_yield	7296	Gm04_BLOCK202	0.004086771		0.4	Gm04	C1	23610412	23610412
802	Seed isoflavone 1-g19	qSifc-a-04-5	Seed isoflavone 1	Seed isoflavone	SOY:0001849	QTL_other-seed	seed_composition_and_yield	7317	Gm04_47568317	1.89E-15		2.1	Gm04	C1	50699328	50699328
803	Seed isoflavone 1-g20	qSifc-a-05-1	Seed isoflavone 1	Seed isoflavone	SOY:0001849	QTL_other-seed	seed_composition_and_yield	7297	Gm05_BLOCK67	0.000370744		0.6	Gm05	A1	23880950	23880950
