# this is a standard expression file to be read by InterMine source legfed-expression	
#
# 1. source name, PMID, geo, bioProject, sra-study
RNA-Seq Atlas of Glycine max: a guide to the soybean transcriptome. (Gene IDs converted from v1 to v2.)	20687943.000		PRJNA208048	SRP025919
# 2. expression unit
TPM
# 3. number of samples
14
# 4. Sample number, name and description in same order as the columns
1	young_leaf	Young Leaf: 0.4 Leaflets unfurled (SOY:0000252)
2	flower	Flower: F0.4 Open flower (SOY:0001277)
3	one_cm_pod	One cm pod: 7 DAF: F0.7 Small size pod (SOY:0001280)
4	pod_shell_10DAF	Pod-shell: 10-13 DAF: F0.8 Pod medium size (SOY:0001281)
5	pod_shell_14DAF	Pod-shell: 14-17 DAF: F0.9 Full pod size (SOY:0001282)
6	seed_10DAF	Seed: 10-13 DAF: S1.06 Cotyledon stage (SOY:0001290)
7	seed_14DAF	Seed: 14-17 DAF: S1.06 Cotyledon stage (SOY:0001290)
8	seed_21DAF	Seed: 21 DAF: S1.07 Early maturity stage 1 (SOY:0001291)
9	seed_25DAF	Seed: 25 DAF: S1.07 Early maturity stage 1 (SOY:0001291)
10	seed_28DAF	Seed: 28 DAF: S1.07 Early maturity stage 1 (SOY:0001291)
11	seed_35DAF	Seed: 35 DAF: S1.08 Early maturity stage 2 (SOY:0001292)
12	seed_42DAF	Seed: 42 DAF: S1.09 Mid seed maturity (SOY:0001293)
13	root	Root: Root structures (SOY:0001183)
14	nodule	Nodule: Bacterial root nodule (SOY:0001301)
# 5. expression data with Gene or mRNA identifiers (gene will have .1 appended)
Glyma.20G056700	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.20G056600	4.318	5.015	5.022	5.133	2.858	12.124	3.965	3.834	3.769	0.000	0.000	0.000	4.812	2.054
Glyma.08G264000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.08G263800	21.589	32.596	25.110	28.233	20.006	18.185	15.858	26.841	33.917	21.779	19.916	13.651	40.899	24.643
Glyma.08G263700	6.477	5.015	10.044	12.833	5.716	12.124	15.858	19.172	22.611	21.779	24.894	10.921	19.246	8.214
Glyma.08G263500	51.813	87.759	35.154	28.233	8.574	36.371	7.929	19.172	15.074	21.779	14.937	10.921	12.029	6.161
Glyma.08G263200	4.318	47.641	12.555	7.700	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	12.029	0.000
Glyma.01G074600	2.159	2.507	2.511	0.000	2.858	0.000	0.000	0.000	0.000	0.000	0.000	0.000	45.710	4.107
Glyma.01G074400	17.271	10.030	27.621	15.400	14.290	12.124	11.894	26.841	15.074	16.334	12.447	8.191	31.275	36.964
Glyma.10G101500	21.589	12.537	22.599	30.800	20.006	12.124	23.787	42.179	26.380	21.779	17.426	10.921	16.841	215.624
Glyma.10G101300	28.065	17.552	27.621	33.367	31.437	36.371	31.716	38.344	22.611	16.334	12.447	8.191	16.841	6.161
